Ticker,CIK
olcly,1545460
csuay,1445470
pltr,1321655
regn,872589
dg,29534
dd,1666700
hum,49071
chpxy,1528541
cfruy,948401
pdrdy,899108
cvna,1690820
hmc,715153
wm,823768
mrna,1682852
dash,1792789
crwd,1535527
ubs,1610520
noc,1133421
phg,313216
scco,1001838
bsx,885725
bmo,927971
aon,315293
qs,1811414
vlvly,753762
nem,1164727
abev,1565025
emr,32604
ecify,1387438
pton,1639825
lzagy,1446711
docu,1261333
lulu,1397187
u,1810806
mnst,865752
puk,1116578
relx,929869
etn,1551182
amx,1129137
ibn,1103838
fanuy,1446596
cp,16875
ttd,1671933
gld,1222333
jmhly,870016
vwdry,1330306
bcmxy,1447011
kmb,55785
roku,1428439
bx,1393818
pins,1506293
dnzoy,1446598
bbd,1160330
epd,1061219
vnja,1532383
chwy,1766502
vod,839923
nxpi,1413447
kdp,1418135
wfafy,1436381
twtr,1418091
cof,927628
veev,1393052
ctsh,1058290
rop,882835
rkt,1805284
lvs,1300514
danoy,1048515
idxx,874716
algn,1097149
knyjy,1436793
khc,1637459
gd,40533
itocy,355363
ceo,1095595
glncy,1524684
cop,1163165
lnsty,1439584
rost,745732
mtch,891103
smfg,1022837
tal,1499620
stz,16918
mar,1048286
exc,1109357
met,1099219
psa,1393311
dow,1751788
ea,712515
aep,4904
bax,10456
vonoy,1652630
ahchy,1448987
ngg,1004315
gold,756894
cmg,1058090
klac,319201
tri,1075124
snps,883241
eric,717826
dlr,1297996
cm,1045520
lhx,202058
tel,1385157
trp,1232384
aph,820313
gvdny,1121631
bce,718940
hnnmy,1396282
biib,875045
sxyay,1575851
jshly,879875
cdns,813672
okta,1660134
mchp,827054
info,1598014
syy,96021
sre,1032208
ctas,723254
msci,1408198
e,1002242
ing,1039765
gwlly,1536278
fcau,1605484
rng,1384905
panw,1327567
a,1090872
mtcpy,1159204
gis,40704
crary,1279967
bk,1390777
csgp,1057352
ebay,1065088
xlnx,743988
lu,1816007
sgen,1060736
fcx,831259
schyy,1491703
f,37996
vivhy,1127055
xel,72903
payx,723531
trv,86312
ph,76334
lgfry,1554394
tt,1466258
ppg,79879
dxcm,1093557
iqv,1478242
wba,1618921
ddog,1561550
aptv,1521332
cnc,1071739
alxn,899866
mfc,1086888
rht,1087423
trow,1113169
stm,932787
crh,849395
zg,1617640
bcs,312069
ovchy,1448817
cmi,26172
hcmly,948696
jci,833444
carr,1783180
orly,898173
vrsk,1442145
chcjy,1495687
iac,1800227
clpby,1294325
tdg,1260221
yum,1041061
cmaky,1453056
vfc,103379
bbva,842180
all,899051
zijmy,1459580
pdypy,1627168
bsbr,1471055
mfg,1335730
xpev,1810997
amady,1502104
lyg,1160106
aig,5272
mrvl,1058057
tme,1744676
alc,1167379
oran,1038143
zbh,1136869
kmi,1506307
hpq,47217
anss,1013462
hsy,47111
dboey,1437147
rmd,943819
sbac,1034054
rsg,1060391
trumy,1446672
svndy,1359519
bll,9389
afl,4977
rprx,1802768
cht,1132924
lyb,1489393
cs,1159510
tdoc,1477449
slb,87347
rdsmy,1339422
pru,1137774
bili,1723690
psx,1534701
pcar,75362
kbcsy,1411133
cprt,900075
ctva,1755672
tscdy,885834
htht,1483994
rok,1024478
swk,93556
es,72741
splk,1353283
wit,1123799
hlt,1585689
peg,788784
eog,821189
fast,815556
msi,68505
otis,1781335
crbjy,1454471
w,1616707
unicy,1095054
gelyy,1474968
wec,783325
li,1791706
ctryy,1462886
yahoy,1446437
alpmy,1446390
zs,1713683
zlndy,1638747
glw,24741
ec,1444406
lbrda,1611983
spg,1063761
rweoy,939380
cnq,1017413
mck,927653
adm,7084
azo,866787
arzgy,1379235
ame,1037868
khngy,1451287
wltw,1140536
wcn,1318220
asazy,1253493
bby,764478
awk,1410636
payc,1590955
mtd,1037646
luv,92380
siri,908937
ntr,1725964
dfs,1393612
bfa,14693
net,1477333
stne,1745431
dhi,882184
cjpry,1334687
fmx,1061736
well,766704
gmab,1434265
ckhuy,1637120
coup,1385867
gctay,1158089
nwg,844150
ibkr,1381197
egrny,1595085
mpc,1510295
dltr,935703
hrl,48465
tu,868675
clx,21076
slf,1097362
aonny,1300175
su,311337
wmb,107263
wy,106535
etsy,1370637
dal,27904
swks,4127
mkc,63754
stt,93751
work,1764925
ftnt,1262039
pcg,1004980
vrsn,1014473
fnv,1456346
mt,1243429
len,920760
dia,1041130
bntx,1776985
codyy,1012037
pugoy,908829
fms,1333141
yumc,1673358
keys,1601046
ejpry,1093028
tyidy,1130894
mdb,1441816
ajg,354190
cgemy,1084656
etp-pc,1161154
are,1035443
cern,804753
otsky,1544613
ssmxy,1517231
yndx,1513845
szkmy,1263521
efx,33185
frc,1132979
kr,56873
tlk,1001807
bgne,1651308
rci,733099
ed,1047862
odfl,878927
ttwo,946581
eix,827052
mgddy,896076
mdy,936958
mxim,743316
ftv,1659166
dte,936340
cabhf,1436647
saxpy,1436778
grmn,1121788
tsn,100493
cha,1191255
kkr,1404912
flt,1175454
mplx,1552000
enph,1463101
xp,1787425
db,1159508
avb,915912
ftch,1740915
gww,277135
sgsoy,1069347
anet,1596532
bkr,1701605
vlo,1035002
gbery,1179029
ccl,815097
gasny,1269920
amp,820027
smnny,1640117
mktx,1278021
haity,1553473
nrily,1179493
nok,924613
viac,813828
eqr,906107
chd,313927
o,726728
exas,1124140
ryaay,1038683
vtrs,1792044
ndaq,1120193
poahy,1450346
k,55067
cbre,1138118
baesy,895564
wst,105770
ccep,1650107
gwlif,850918
ashty,1518258
mtsfy,1446641
caj,16988
fojcy,1436740
tef,814052
dkng,1772757
ztcoy,1445156
atus,1702780
gib,1061574
zbra,877212
ppl,922224
akzoy,3124
umc,1033767
frrvy,1438571
rol,84839
epam,1352010
mga,749098
lh,920148
svnly,1448613
abc,1140859
ucbjy,1290640
ter,97210
cghly,1550635
tcom,1269238
tlpfy,1450682
ip,51434
syf,1601712
cvac,1809122
pkx,889132
imbby,1072670
incy,879169
etr,65984
hubs,1404655
holx,859737
fitb,35527
wmg,1319161
fandy,1454175
thlly,1722401
sivb,719739
ir,1699150
fts,1666175
vmc,1396009
aee,1002910
gdrx,1809519
ntrs,73124
tru,1552033
sbhmy,1604982
chkp,1015922
cdw,1402057
wpm,1323404
qrvo,1604778
ix,1070304
qsr,1618756
tfx,96943
ccc,1764046
vtr,740260
ksu,54480
ssnc,1402436
weicy,1452191
zi,1794515
amcr,1748790
pags,1712807
snmry,1437771
xyl,1524472
syiey,1444718
snn,845982
gds,1526125
pxd,1038357
dov,29905
tyl,860731
ui,1511737
cag,23217
grfs,1438569
cicoy,1445161
tsco,916365
chu,1113866
vips,1529192
et,1276187
expe,1324424
nvcr,1645113
bio,12208
akam,1086222
coo,711404
ctlt,1596783
rnecy,1246135
iau,1278680
br,1383312
oke,1039684
aem,2809
hig,874766
mlm,916076
ai,1577526
nice,1003935
hal,45012
jhx,1159152
sgioy,1281721
podd,1145197
zen,1463172
tlsny,1169870
cnhi,1567094
trmb,864749
alsmy,1062066
sedg,1419612
cms,811156
cqp,1383650
hei,46619
ppccy,1446747
uri,1067701
stx,1137789
ctxs,877890
dgx,1022079
burl,1579298
invh,1687229
fe,1031296
whlkf,1449594
logi,1032975
foxa,1754301
nvzmy,1131345
txg,1770787
sonvy,1450681
lsxma,1560385
alny,1178670
bmrn,1048477
expd,746515
nue,73309
cday,1725057
skm,1015650
hes,4447
peak,765880
mpwr,1280452
var,203527
tif,98246
kb,1445930
sui,912593
fujhy,800364
avtr,1722482
oxy,797468
cah,721371
lyft,1759509
dpz,1286681
nmr,1163653
pki,31791
nvr,906163
rcl,884887
ste,1757898
dri,940944
caixy,1535628
alb,915913
avlr,1348036
mtb,36270
xngsy,1454948
czr,1590895
shg,1263043
kep,887225
key,91576
lyv,1335258
osh,1564406
cuk,1125259
ess,920522
wat,1000697
ophly,940821
ce,1306830
dish,1001082
aes,874761
cwycy,1436965
kmx,1170010
wix,1576789
wdc,106040
wish,1822250
suz,909327
hznp,1492426
hpe,1645590
fico,814547
mgm,789570
ulta,1403568
viv,1066119
tw,1758730
exr,1289490
hdely,1400691
iex,832101
penn,921738
pool,945841
plug,1093691
rf,1281761
mas,62996
ntap,1002047
jbht,728535
nipnf,72127
fmc,37785
bip,1406234
masi,937556
dre,783280
cfg,759944
atasy,1437775
ldos,1336920
dqjcy,1446597
prdsy,1527249
lng,3570
argx,1697862
cpb,16732
bxp,1037540
cccgy,1448985
gddy,1609711
szlmy,1438844
maa,912595
gnrc,1474735
elan,1739104
gpc,40987
ednmy,1581671
srpt,873303
cgnx,851205
acgl,947484
ptc,857005
hrely,1445159
tdy,1094285
it,749251
bki,1627014
vici,1705696
estc,1707753
j,52988
agr,1634997
wab,943452
run,1469367
emn,915389
nngry,1690981
abmd,815094
lbtya,1570585
gh,1576280
swgay,1438845
bpy,1545772
cabo,1632127
ckisy,1065989
mkl,1096343
cinf,20286
imo,49938
mtuay,1342237
ntco,1776967
pba,1546066
entg,1101302
cck,1219601
on,1097864
sqm,909037
sjm,91419
erie,922621
cjewy,1555574
pfg,1126328
wpp,806968
bro,79282
dva,927066
bap,1001290
omc,29989
rjf,720005
chrw,1043277
ndeky,353991
ally,40729
monoy,1583055
rnlsy,1416039
pkg,75677
kkpny,1001474
gsx,1768259
avy,8818
has,46080
dvcmy,1163417
nlok,849399
iq,1722608
ppd,1793294
ual,100517
fds,1013237
crl,1100682
dt,1773383
nuan,1002517
lnt,352541
sam,949870
abcl,1703057
bill,1786352
znh,1041668
otex,1002638
fosuy,1462456
hban,49196
yasky,1559460
iktsy,1444714
ben,38777
tech,842023
enia,912505
wpc,1025378
szsay,1444147
fivn,1288847
disca,1437107
iff,51253
pubgy,1050952
aeoxf,1450280
cgasy,1555207
jbaxy,1475011
moh,1179929
iliay,1570932
fbhs,1519751
phm,822416
wynn,1174922
ggg,42888
bntgy,1533945
crsp,1674416
lazr,1758057
chgg,1364954
ubsfy,1446702
kikoy,1446656
ranjy,1112439
bah,1443646
amigy,1438930
ndvly,800928
mrtx,1576263
smfky,1537547
qgen,1015820
coihy,1513977
evrg,1711269
ggdvy,925428
fsly,1517413
l,60086
asx,1122411
jkhy,779152
smmyy,1551402
iep,813762
whr,106640
ipgp,1111928
wrb,11544
nly,1043219
ato,731802
rdy,1135951
rpm,110621
athm,1527636
mpw,1287865
pcty,1591698
uhs,352915
ndsn,72331
wrk,1732845
hwm,4281
rare,1515673
cchgy,1558633
psmmy,1439580
umicy,1477038
jxhly,1487533
sbsw,1786909
cree,895419
dnb,1799208
maruy,801645
cnp,1130310
xray,818479
lw,1679273
bep,1533232
fnf,1331875
els,895417
kl,1713443
alfvy,863344
oled,1005284
dnli,1714899
ihg,858446
appn,1441683
fslr,1274494
cxo,1358071
stbfy,1587200
smg,825542
zlab,1704292
ysg,1819580
wtrg,78128
pega,1013857
eqh,1333986
siely,1453732
shmay,1555379
cnpay,1450278
zlioy,1546084
udr,74208
apo,1411494
ebr,1439124
cg,1527166
lkq,1065696
rmyhy,1636804
mtn,812011
rdeiy,1438654
smtoy,95227
ffiv,1048695
aap,1158449
znga,1439404
xpo,1166003
ahexy,1446251
lumn,18926
txt,217346
xyigy,1508669
gjnsy,1531384
gwre,1528396
kotmy,1543727
rgen,730272
bch,1161125
lb,701985
bsy,1031308
emraf,1127248
fyrty,1452190
teva,818686
fnd,1507079
plan,1540755
lii,1069202
wb,1595761
nwsa,1564708
wlk,1262823
alle,1579241
cna,21175
dbx,1467623
iclr,1060955
uelmo,100826
ttc,737758
cea,1030475
bepc,1791863
trex,1069878
cib,1071371
bfam,1437578
cboe,1374310
glpi,1575965
ksryy,1668501
shwgy,1505223
cgc,1737927
mhk,851968
tap,24545
mmp,1126975
mgp,1656936
hst,1070750
gl,320335
pwr,1050915
bwa,908255
cheoy,1453930
cpt,906345
asnd,1612042
lea,842162
aqn,1174169
hrgly,1528651
ntra,1604821
amed,896262
rh,1528849
aal,6201
morn,1289419
hsic,1000228
amh,1562401
ts,1190723
armk,1584509
nvta,1501134
au,1067428
dlb,1308547
efgsy,1445153
wilyy,1436673
nfe,1749723
teck,886986
lnc,59558
acsay,1448375
bsac,1027552
nbix,914475
cms-pb,201533
dnfgy,1454473
kc,1795589
re,1095073
kgc,701818
sna,91440
dox,1062579
surry,1556607
frfhf,915191
smar,1366561
flex,866374
prymy,1437672
ipg,51644
dar,916540
cone,1553023
iaugy,1206571
sjr,932872
wu,1365135
wso,105016
bg,1144519
gfl,1780232
nwl,814453
azpn,929940
adpt,1478320
aos,91142
rp,1286225
grpty,1395167
kof,910631
uhal,4457
vst,1692819
acad,1070494
wex,1309108
ayx,1689923
glob,1557860
fate,1434316
pnw,764622
wynmy,1480134
five,1177609
pnr,77360
stor,1538990
ocft,1780531
atr,896622
sgpyy,1253494
bynd,1655210
hds,1573097
iaa,1745041
dada,1793862
ozon,1822829
qdel,353569
hubb,48898
irm,1020569
arwr,879407
ach,1161611
che,19584
jazz,1232524
nrg,1013871
ohi,888491
agnc,1423689
rdfn,1382821
mnso,1815846
levi,94845
oc,1370946
slfpy,1370418
sci,89089
tpr,1116132
rohcy,1442653
csl,790051
bbio,1743881
zayo,1608249
ni,1111711
mos,1285785
lamr,1090425
gntx,355811
brkr,1109354
wsm,719955
iphi,1160958
deck,910521
y,775368
gfi,1172724
curlf,1756770
hegiy,1449217
lpla,1397911
nyt,71691
ions,874015
ehc,785161
sid,1049659
mksi,1049502
aaxn,1069183
rnr,913144
iivi,820318
twst,1581280
ver,1507385
seic,350894
cien,936395
alv,1034670
bl,1666134
chdn,20212
slv,1330568
xlrn,1280600
aseky,1450206
st,1477294
warfy,901684
mrvi,1823239
ipxhy,1309035
g,1398659
lspd,1823306
pfpt,1212458
mbt,1115837
shcay,800840
ath,1527469
asgly,7646
fvrr,1762301
prah,1613859
ivz,914208
oukpy,1436786
mdiby,1379481
rba,1046102
cf,1324404
aiz,1267238
agco,880266
kod,1468748
ccozy,1398879
reg,910606
ev,350797
jll,1037976
stld,1022671
ncno,1566895
atdry,1647435
cbsh,22356
magoy,1437144
shc,1822479
aeg,769218
aval,1504764
rtmvy,1516536
rga,898174
cx,1076378
allk,1564824
cma,28412
cold,1455863
ggb,1073404
sfix,1576942
gps,39911
wwd,108312
tgtx,1001316
rs,861884
aci,1646972
cae,1173382
lad,1023128
sklz,1801661
lite,1633978
jnpr,1043604
mcfe,1783317
afg,1042046
nvax,1000694
isuzy,763665
lnegy,1437041
nclh,1513761
ttm,926042
abmrf,1784384
synh,1610950
iova,1425205
usfd,1665918
arw,7536
acm,868857
rl,1037038
h,1468174
eeft,1029199
knx,1492691
ugi,884614
klycy,1449614
shpmy,1570300
nnn,751364
ua,1336917
rgld,85535
hllgy,1674534
midd,769520
bery,1378992
bhc,885590
dci,29644
tokuy,1131652
sbny,1288784
ares,1176948
rhi,315213
shtdy,1556605
tiscy,773917
fupby,1534043
nlsn,1492633
leco,59527
clpxy,1490083
see,1012100
voya,1535929
uvrby,1533920
crcby,1553915
site,1650729
tdhoy,1288098
fang,1539838
qtwo,1410384
mpln,1793229
ewbc,1069157
zion,109380
bpmc,1597264
arcc,1287750
ngls-pa,1379661
lhcg,1303313
vedl,1370431
cve,1475260
cd,1807192
ntnx,1618732
bli,1689657
fhn,36966
dseey,1481045
pen,1321732
paas,771992
timb,1826168
pso,938323
tmx,1428875
vno,899689
kajmy,1446660
grub,1594109
irtc,1388658
bmrry,1671235
amwl,1393584
manh,1056696
adt,1703056
clzny,1366235
cog,858470
mp,1801368
bsmx,1698287
axta,1616862
plnt,1637207
cube,1298675
hii,1501585
clf,764065
itt,216228
vopky,1452188
bld,1633931
casy,726958
pvh,78239
jsgry,1442656
frt,34903
uthr,1082554
post,1530950
cakfy,1446707
wf,1264136
fold,1178879
yeti,1670592
bc,14930
nkla,1731289
snphy,1501108
hocff,1450349
bgaoy,1325378
gmed,1237831
sjmhy,1599962
krc,1025996
hrc,47518
bldp,1453015
jbl,898293
pstg,1474432
paa,1070423
vlpny,1378984
cpri,1530721
gwr,1012620
sc,1580608
angi,1705110
aacay,1447647
glpg,1421876
hmtly,353990
sommy,1409236
yy,1530238
rexr,1571283
bncdy,1667075
nvro,1444380
srcl,861878
cybr,1598110
reyn,1786431
cwen-a,1567683
ogfgy,845033
pfgc,1618673
pb,1068851
tptx,1595893
neo,1077183
appf,1433195
exel,939767
vrt,1674101
alk,766421
kim,879101
ttek,831641
pii,931015
caci,16058
omf,1584207
cdk,1609702
psxp,1572910
japsy,318269
frog,1800667
asomy,1492075
oge,1021635
trgp,1389170
mat,63276
mpfry,1417695
lfus,889331
hae,313143
pac,1347557
hta,1360604
azek,1782754
lscc,855658
clgx,36047
kss,885639
acc,1283630
airc,1820877
prgo,1585364
dct,1160951
phi,78150
spce,1706946
fsv,1637810
osagy,1603194
son,91767
wal,1212545
tx,1342874
colm,1050797
frpt,1611647
suopy,1347141
an,350698
halo,1159036
jef,96223
four,1794669
tol,794170
btg,1429937
clr,732834
cacc,885550
wrtby,1436771
sdgr,1490978
faf,1472787
dooo,1748797
wes,1423902
dxc,1688568
jhg,1274173
lsi,944314
hlf,1180262
icl,941221
sbs,1170858
wms,1604028
tkr,98362
msa,66570
onem,1404123
cert,1827090
enggy,1446294
tndm,1438133
chng,1756497
tpx,1206264
vnt,1786842
osk,775158
tenb,1660280
expi,1495932
ori,74260
hele,916789
skx,1065837
vrm,1580864
dvn,1090012
itvpy,1283708
chh,1046311
bwxt,1486957
arry,1820721
tho,730263
lmnd,1691421
mrwsy,1446128
hun,1307954
nati,935494
saic,1571123
gil,1061894
txrh,1289460
kt,892450
vrns,1361113
pe,1594466
lpl,1290109
fcnca,798941
hog,793952
coty,1024305
brks,933974
hwdjy,1563177
egp,49600
htcmy,1446648
slab,1038074
bhvn,1689813
tnet,937098
futu,1754581
stwd,1465128
leg,58492
flir,354908
iart,917520
tcf,19612
tpl,97517
cnvvy,1694271
hnp,929058
evbg,1437352
fr,921825
olli,1639300
cor,1490892
eslt,1027664
cfr,39263
ssl,314590
enic,1659939
sekey,1261759
verx,1806837
sail,1627857
gbtc,1588489
shmuy,1564228
pbct,1378946
apa,6769
diisy,1563255
vac,1524358
aer,1378789
bj,1531152
auy,1264089
apps,317788
mdla,1540184
gfszy,1438927
feye,1370880
ingr,1046257
hqy,1428336
pri,1475922
ccj,1009001
lstr,853816
spwr,867773
man,871763
nvst,1757073
insp,1609550
sdc,1775625
sf,720672
algm,866291
rykky,1592049
brthy,14595
dsgx,1050140
dei,1364250
beam,1745999
wsc,1647088
asmvy,1447945
mdu,67716
ssb,764038
nov,1021860
mtz,15615
wh,1722684
ebs,1367644
cuz,25232
irdm,1418819
psth,1811882
edit,1650664
cnxc,1803599
orcc,1655888
pacb,1299130
felty,1447250
be,1664703
pfsi,1745916
ektay,1451160
wen,30697
omcl,926326
gtbif,1795139
medp,1668397
kmpr,860748
swi,1739942
malry,1537280
mro,101778
dks,1089063
knsl,1669162
ffin,36029
eme,105634
nep,1603145
prlb,1443669
ugp,1094972
alrm,1459200
esnt,1448893
hbi,1359841
qlys,1107843
bigc,1626450
eidx,1731831
virt,1592386
upwk,1627475
msp,1724570
saia,1177702
imvt,1764013
alsn,1411207
nkrky,1436790
tfsl,1381668
asan,1477720
tsuky,702257
asr,1123452
lesl,1821806
hasi,1561894
rbc,82811
jobs,1295484
rpd,1560327
bldr,1316835
flo,1128928
trup,1371285
msm,1003078
tfii,1588823
ida,1057877
mrcy,1049521
aemmy,1437776
pnfp,1115055
huskf,49279
ora,1296445
ramp,733269
byd,906553
powi,833640
npsky,354470
brx,1581068
bokf,875357
fls,30625
ash,1674862
band,1514416
hli,1302215
zhuzy,1556616
nycb,910073
gshd,1726978
snv,18349
dava,1656081
stag,1479094
lanc,57515
rli,84246
crus,772406
ppc,802481
smtc,88941
slm,1032033
al,1487712
huya,1728190
jwn,72333
vldr,1745317
nova,1772695
rxn,1439288
cw,26324
shi,908732
cldr,1535379
cbpo,1369868
bzzuy,1437774
bpop,763901
src,1308606
esgr,1363829
sage,1597553
mxchy,1435969
ncr,70866
root,1788882
lpsn,1102993
dm,1754820
prld,1678660
vvnt,1713952
rnmby,1450345
expo,851520
amg,1004434
dq,1477641
reta,1358762
adrzy,1436467
pag,1019849
wk,1445305
ptct,1070081
abcm,1492074
gpk,1408075
env,1337619
tkc,1071321
kwr,81362
roll,1324948
xrx,1770450
hhc,1498828
wygpy,1450021
meggy,1487786
nomd,1651717
aciw,935036
esi,1590714
vnet,1508475
mms,1032220
cr,25445
api,1802883
cncn,1191334
roymy,1592438
jcom,1084048
evr,1360901
cc,1627223
arna,1080709
nxst,1142417
iipr,1677576
icui,883984
nav,808450
asgn,890564
qrtea,1355096
crox,1334036
foxf,1424929
lope,1434588
jblu,1158463
bbavy,1399224
fsr,1720990
sepjy,1518521
unm,5513
neog,711377
mzday,1447122
tv,912892
cmhhy,1446751
phys,1477049
achc,1520697
thc,70318
goco,1808220
neu,1282637
wing,1636222
altr,1701732
newr,1448056
lpro,1806201
cig,1157557
ftdr,1727263
gtls,892553
novt,1076930
cfx,1420800
vvv,1674910
wpx,1518832
gbci,868671
ccxi,1340652
hcm,1648257
rlay,1812364
jmia,1756708
upchy,1447772
adv,1776661
msgs,1636519
ayi,1144215
axs,1214816
kbr,1357615
hlne,1433642
apls,1492422
vrnt,1166388
pnm,1108426
laz,1311370
czz,1402902
fubo,1484769
thg,944695
cvet,1752836
snx,1177394
mtg,876437
ssrm,921638
pinc,1577916
ard,1689662
fti,1681459
nea,1195737
exp,918646
nrz,1556593
jbgs,1689796
vicr,751978
hypmy,1486749
ay,1601072
krnt,1625791
clh,822818
ntla,1652130
ccmp,1102934
fl,850209
bxmt,1061630
crnc,1768267
cnne,1704720
isday,1224306
hiw,921082
bb,1070235
slg,1040971
oln,74303
ssd,920371
bcauy,891765
ajrd,40888
ryn,52827
ogs,1587732
hr,899749
gulry,1449218
aa,1675149
fizz,69891
slgn,849869
cri,1060822
am,1623925
jamf,1721947
cdlx,1666071
sigi,230557
wts,795403
ubsi,729986
ensg,1125376
rxt,1810019
sgms,750004
ozk,1569650
hxl,717605
fcn,887936
qts,1577368
legn,1801198
trno,1476150
thkly,1443275
swch,1710583
kzmyy,1438929
hfc,48039
hain,910406
tigo,912958
affs,1365555
pk,1617406
apam,1517302
bjchy,1454468
shlx,1610466
unf,717954
spsc,1092699
stmp,1082923
safe,1688852
spr,1364885
lpx,60519
eye,1710155
allo,1737287
nghc,1578735
ebrpy,1450461
dcp,1338065
vir,1706431
elp,1041792
nvt,1720635
carg,1494259
nari,1531048
mlluy,1485888
pd,1568100
uso,1327068
vly,714310
nfg,70145
arvn,1655759
rdn,890926
prsp,1724670
wimhy,1451554
he,354707
apnhy,1454177
swtx,1773427
cdna,1217234
xec,1168054
wcc,929008
seer,1726445
cbd,1038572
hkib,1769731
bkh,1130464
doc,1574540
crsr,1743759
kurry,1446655
aeis,927003
gtes,1718512
pbsfy,1137849
doyu,1762417
jbt,1433660
tpdky,1436652
x,1163302
mime,1644675
maury,62919
go,1771515
grp-un,1564538
por,784977
wbs,801337
edu,1372920
vmi,102729
avnt,1122976
fgen,921299
staa,718937
musa,1573516
sndr,1692063
wwe,1091907
shak,1620533
insm,1104506
bcpc,9326
eqt,33213
hpp,1482512
prg,1808834
mtsi,1493594
mor,1340243
slqt,1794783
cef,1726122
bak,1071438
amkr,1047127
bmch,1574815
stn,1131383
wynd,1361658
seb,88121
msloy,1447112
tree,1434621
sbra,1492298
psb,866368
ovv,1792580
wdfc,105132
yueiy,1444719
cigi,913353
gra,1045309
awi,7431
sem,1320414
wns,1356570
ifs,1615903
adc,917251
pgny,1551306
svmk,1739936
itri,780571
cohr,21510
asccy,1600930
jks,1481513
tmhc,1562476
meoh,886977
eght,1023731
ttec,1013880
diod,29002
rckt,1281895
sabr,1597033
cns,1284812
gwph,1351288
psn,275880
ens,1289308
swav,1642545
cit,1171825
nvg,1090116
vc,1111335
brfs,1122491
trip,1526520
kbh,795266
ahco,1725255
dcph,1654151
etrn,1747009
wtfc,1015328
bco,78890
vg,1272830
aimc,1374535
osb,877365
upst,1647639
fcel,886128
agi,1178819
sumo,1643269
r,85961
alxo,1810182
rhp,1040829
kymr,1815442
alks,1520262
ufpi,912767
chffy,1601994
brp,1781755
ride,1759546
goos,1690511
swx,1692115
avt,8858
aaon,824142
nktr,906709
ads,1101215
stl,1070154
tuify,1342875
